nom, capacite, equipements, description
SALLE VITRÉE,30,"Split, Vidéo-projecteur, Chaises","Salle de cours vitrée"
SALLE 213,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
INFORMATIQUE,30,"Split, Vidéo-projecteur, Chaises","Salle informatique"
SALLE 501,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 206,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
AMPHI A,30,"Split, Vidéo-projecteur, Chaises","Amphithéâtre"
SALLE 224,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 333,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE DE CONSEIL,30,"Split, Vidéo-projecteur, Chaises","Salle de conseil"
SALLE 222,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 209,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 305A,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 217 IBA,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 219 IBA,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 220,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
AMPHI C,30,"Split, Vidéo-projecteur, Chaises","Amphithéâtre"
SALLE IAA,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE IC3 FOREN,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 210,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SERVICE STAGE,30,"Split, Vidéo-projecteur, Chaises","Bureau service stage"
SALLE IC2,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE IC1,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE ITA1,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE ITA2,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE TSA1,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE TSA2,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE TSA3,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 134,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 426,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 303,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 302,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 206,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 235,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 212,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 218,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 210,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 302,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 216,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
SALLE 313,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
PRESPÉ FOREN,30,"Split, Vidéo-projecteur, Chaises","Salle de cours"
